PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
2,Dinaciclib,Ipatasertib,3,30,12.7723252281273,nM
2,Dinaciclib,Ipatasertib,3,100,16.6210232598227,nM
2,Dinaciclib,Ipatasertib,3,300,26.0430290559248,nM
2,Dinaciclib,Ipatasertib,3,1000,36.9259111623447,nM
2,Dinaciclib,Ipatasertib,3,3000,36.1153187317525,nM
2,Dinaciclib,Ipatasertib,3,10000,44.5496170047726,nM
2,Dinaciclib,Ipatasertib,1,0,7.57393262300557,nM
2,Dinaciclib,Ipatasertib,1,10,-0.120877818597085,nM
2,Dinaciclib,Ipatasertib,1,30,9.20287434955452,nM
2,Dinaciclib,Ipatasertib,1,100,11.2300018314821,nM
2,Dinaciclib,Ipatasertib,1,300,19.6785210243372,nM
2,Dinaciclib,Ipatasertib,1,1000,31.3461393434675,nM
2,Dinaciclib,Ipatasertib,1,3000,37.2620419948072,nM
2,Dinaciclib,Ipatasertib,1,10000,43.6562846769589,nM
2,Dinaciclib,Ipatasertib,0.3,0,4.18418245871085,nM
2,Dinaciclib,Ipatasertib,0.3,10,2.29409293155644,nM
2,Dinaciclib,Ipatasertib,0.3,30,0.136391549326122,nM
2,Dinaciclib,Ipatasertib,0.3,100,5.05165856864287,nM
2,Dinaciclib,Ipatasertib,0.3,300,19.8646857930856,nM
2,Dinaciclib,Ipatasertib,0.3,1000,30.9776882386529,nM
2,Dinaciclib,Ipatasertib,0.3,3000,40.2704129453464,nM
2,Dinaciclib,Ipatasertib,0.3,10000,46.6711196819685,nM
2,Dinaciclib,Ipatasertib,0.1,0,1.18486118443025,nM
2,Dinaciclib,Ipatasertib,0.1,10,3.04392325012659,nM
2,Dinaciclib,Ipatasertib,0.1,30,3.64249469408862,nM
2,Dinaciclib,Ipatasertib,0.1,100,6.53839109684231,nM
2,Dinaciclib,Ipatasertib,0.1,300,18.3572682905808,nM
2,Dinaciclib,Ipatasertib,0.1,1000,33.2633778993978,nM
2,Dinaciclib,Ipatasertib,0.1,3000,39.3240753708751,nM
2,Dinaciclib,Ipatasertib,0.1,10000,43.5968153758309,nM
2,Dinaciclib,Ipatasertib,0,0,1.91917777227136,nM
